Facility,county,county_pop,county_cases,county_cases_per100K,county_deaths,county_deaths_per100K
la palma correctional facility,Pinal,462789,42322,9145,612,132
stewart detention center,Stewart,6621,763,11524,18,272
bluebonnet detention facility,Jones,20083,2681,13350,40,199
immigration centers of america - farmville,Prince Edward,22802,1709,7495,20,88
el paso service processing center,El Paso,839238,113637,13540,2116,252
south texas ice processing center (pearsall),Frio,20306,2392,11780,29,143
winn correctional center,Winn,13904,1386,9968,36,259
eloy federal contract facility,Pinal,462789,42322,9145,612,132
adelanto ice processing center,San Bernardino,2180085,274429,12588,1839,84
montgomery processing center (houston),Montgomery,607391,39241,6461,383,63
york county prison,York,449058,32142,7158,634,141
port isabel detention center,Cameron,423163,35590,8410,1296,306
broward transitional center,Broward,1952778,172864,8852,2092,107
alexandria staging facility,Rapides,129648,10710,8261,261,201
krome north service processing center,Miami-Dade,2716940,372120,13696,4874,179
otay mesa detention center (san diego cdf),Imperial,181215,26160,14436,532,294
otero county processing center,Otero,67490,2876,4261,49,73
rio grande detention center,Webb,276652,40054,14478,553,200
houston contract detention facility,Harris,4713325,317654,6739,4257,90
glades county detention center,Glades,13811,870,6299,13,94
aurora contract detention facility,Arapahoe,656590,45027,6858,615,94
prairieland detention facility,Johnson,175817,16483,9375,268,152
el valle detention facility,Hidalgo,868707,63551,7316,2427,279
richwood correctional center,Ouachita,153279,17074,11139,374,244
catahoula correctional center,Catahoula,9494,1026,10807,33,348
jackson parish correctional,Jackson,15744,1635,10385,44,279
pulaski county detention center,Pulaski,5335,646,12109,3,56
adams county correctional center,Adams,30693,2212,7207,72,235
cca florence correctional center,Pinal,462789,42322,9145,612,132
webb county detention center (cca),Webb,276652,40054,14478,553,200
karnes county family residential center,Karnes,15601,1571,10070,27,173
folkston ice processing center d ray james,Charlton,13392,1231,9192,23,172
florence detention center,Pinal,462789,42322,9145,612,132
limestone county detention center,Limestone,23437,1520,6485,49,209
lasalle ice processing center - jena,LaSalle,14892,1354,9092,33,222
pine prairie ice processing center,Evangeline,33395,3077,9214,72,216
chase county detention facility,Chase,2648,232,8761,3,113
irwin county detention center,Irwin,9416,842,8942,24,255
caroline detention facility,Caroline,30725,1576,5129,13,42
clinton county correctional facility,Clinton,38632,2496,6461,52,135
eden detention center,Concho,2726,278,10198,5,183
nye county jail,Nye,46523,2581,5548,67,144
rolling plains detention center,Haskell,5658,400,7070,19,336
mesa verde ice processing center,Kern,900202,94113,10455,624,69
river correctional center,Concordia,19259,1703,8843,53,275
calhoun county correctional center,Calhoun,134159,8913,6644,217,162
torrance county detention center,Torrance,15461,597,3861,11,71
buffalo (batavia) service processing center,Genesee,57280,4027,7030,107,187
morrow county correctional facility,Morrow,35328,2403,6802,31,88
joe corley detention center,Montgomery,607391,39241,6461,383,63
wakulla county jail,Wakulla,33739,2960,8773,41,122
kandiyoh county jail,Kandiyohi,43199,5634,13042,73,169
elizabeth detention center,Union,556341,51257,9213,1675,301
pike county correctional facility,Pike,55809,2133,3822,44,79
south texas family residential center (dilley),Frio,20306,2392,11780,29,143
henderson detention center,Clark,2266715,214108,9446,3276,145
iah polk adult detention facility,Polk,51353,2686,5230,78,152
northwest ice processing center (nwipc),Pierce,904980,33995,3756,467,52
etowah county jail,Etowah,102268,12515,12237,246,241
south louisiana correctional center,Evangeline,33395,3077,9214,72,216
lasalle ice processing center olla,LaSalle,14892,1354,9092,33,222
essex county jail,Essex,798975,65161,8156,2539,318
imperial regional detention facility,Imperial,181215,26160,14436,532,294
san luis regional detention center,Yuma,213787,35127,16431,697,326
kankakee county detention center,Kankakee,109862,11878,10812,181,165
bergen county jail,Bergen,932202,67253,7214,2474,265
strafford county corrections,Strafford,130633,5641,4318,61,47
clay county justice center,Clay,26225,2285,8713,32,122
wyatt detention center,Providence,638931,74238,11619,1582,248
saint clair county jail,St. Clair,159128,8225,5169,231,145
baker county detention center,Baker,29210,3034,10387,48,164
polk county jail,Polk,490161,47978,9788,500,102
cache county jail,Cache,128289,0,0,0,0
hudson county jail,Hudson,672391,61391,9130,1867,278
nevada southern detention center,Nye,46523,2581,5548,67,144
cambria county prison,Cambria,130192,10789,8287,364,280
seneca county jail,Seneca,55178,4424,8018,106,192
allen parish detention center,Allen,25627,2823,11016,79,308
lasalle county regional detention center,La Salle,7520,810,10771,19,253
geauga county jail,Geauga,93649,5428,5796,133,142
franklin county house of corrections,Franklin,70180,1780,2536,97,138
laredo processing center,Nueces,362294,35107,9690,655,181
mchenry county adult correctional facility,McHenry,307774,22765,7397,246,80
hardin county jail,Hardin,16846,1606,9533,33,196
yuba county jail,Yuba,78668,5324,6768,31,39
washington county jail,Washington,177556,0,0,0,0
golden state annex facility,Kern,900202,94113,10455,624,69
freeborn county adult detention center,Freeborn,30281,2614,8632,23,76
robert a. deyton detention center,Clayton,292256,19700,6741,309,106
johnson county law enforcement center,Johnson,175817,16483,9375,268,152
dodge county jail,Dodge,87839,11871,13514,165,188
berks family residential center,Berks,421164,32577,7735,802,190
t. don hutto residential center,Williamson,590551,35657,6038,321,54
morgan county detention center,Morgan,20627,1591,7713,36,175
plymouth county correctional facility,Plymouth,521202,35999,6907,1162,223
charleston county detention center,Charleston,411406,32837,7982,384,93
linn county jail,Linn,226706,18522,8170,293,129
phelps county jail,Phelps,9034,871,9641,8,89
sherburne county jail,Sherburne,97238,8401,8640,71,73
nobles county jail,Nobles,21629,3766,17412,47,217
howard county detention center,Howard,325690,14572,4474,204,63
south central regional jail,Kanawha,178124,11088,6225,263,148
bristol county detention center,Bristol,565217,50261,8892,1341,237
lincoln county detention center,Lincoln,59013,4088,6927,24,41
butler county jail,Butler,383134,32348,8443,488,127
kay county detention center,Kay,43538,4774,10965,58,133
cibola county correctional center,Cibola,26675,2592,9717,98,367
worcester county jail,Worcester,52276,3076,5884,78,149
douglas county corrections,Douglas,571327,61184,10709,572,100
montgomery county jail,Montgomery,11551,550,4761,10,87
monroe county jail,Monroe,150500,9168,6092,181,120
cumberland county jail,Cumberland,295003,11197,3796,156,53
orange county jail,Orange,384940,32239,8375,678,176
karnes county correctional center,Karnes,15601,1571,10070,27,173
hall county sheriff,Hall,61353,6638,10819,105,171